Price,Close,High,Low,Open,Volume
Ticker,GC=F,GC=F,GC=F,GC=F,GC=F
Date,,,,,
04-01-2016,1075.099976,1082.5,1063.199951,1063.400024,143
05-01-2016,1078.400024,1081.5,1075.300049,1075.599976,82
06-01-2016,1091.900024,1093.699951,1081.599976,1081.599976,52
07-01-2016,1107.699951,1109.400024,1091.599976,1091.599976,122
08-01-2016,1097.800049,1111.099976,1093,1111.099976,98
11-01-2016,1096.5,1107.900024,1096.5,1105.699951,43
12-01-2016,1085.599976,1098.5,1084,1093.800049,87
13-01-2016,1087.5,1093.900024,1081.5,1081.5,50
14-01-2016,1073.900024,1091.5,1073.699951,1091.5,59
15-01-2016,1091.5,1095.800049,1081.800049,1085,44
19-01-2016,1089.900024,1094.400024,1084.900024,1089.800049,17
20-01-2016,1107.099976,1109.800049,1099.800049,1099.800049,30
21-01-2016,1099.099976,1103.599976,1094.099976,1103.599976,16
22-01-2016,1097.199951,1103.199951,1097.199951,1098,4
25-01-2016,1106.199951,1109.300049,1099.300049,1099.300049,8
26-01-2016,1121.699951,1121.699951,1114.300049,1115.099976,181
27-01-2016,1116.099976,1117.800049,1115.800049,1117.800049,168706
28-01-2016,1115.599976,1125.699951,1109.800049,1125.400024,52861
29-01-2016,1116.400024,1118.599976,1108.800049,1114.400024,6955
01-02-2016,1127.900024,1130,1115.300049,1116.699951,1682
02-02-2016,1127.300049,1131.400024,1123,1128.300049,1230
03-02-2016,1141.300049,1146,1125,1128.5,1630
04-02-2016,1157.599976,1157.599976,1141,1142.5,771
05-02-2016,1157.800049,1174.800049,1146,1155.599976,877
08-02-2016,1197.900024,1200.400024,1165,1173.5,931
09-02-2016,1198.699951,1199.199951,1186.699951,1188.699951,700
10-02-2016,1194.699951,1197.699951,1182.099976,1189.800049,671
11-02-2016,1247.900024,1260.800049,1204.599976,1205.599976,995
12-02-2016,1239.099976,1247.800049,1233.5,1247.800049,250
16-02-2016,1207.900024,1233.599976,1193.599976,1233.099976,422
17-02-2016,1211.099976,1212.900024,1196.5,1196.5,53
18-02-2016,1226.099976,1239.199951,1201.599976,1209.599976,315
19-02-2016,1230.400024,1232.800049,1221.800049,1230.800049,76
22-02-2016,1209.5,1226.099976,1203,1226.099976,280
23-02-2016,1222.300049,1226.099976,1207.400024,1207.400024,351
24-02-2016,1238.699951,1250.099976,1230,1230,111
25-02-2016,1238.199951,1241.5,1235,1239.400024,1349
26-02-2016,1219.800049,1239.099976,1212.199951,1232.400024,656
29-02-2016,1233.900024,1241,1218.599976,1218.599976,580
01-03-2016,1230.300049,1248.400024,1229,1240.5,477
02-03-2016,1241.099976,1242.599976,1226,1232.800049,267
03-03-2016,1257.400024,1267.900024,1238,1238.400024,123
04-03-2016,1269.900024,1279.900024,1250.900024,1263,268
07-03-2016,1263.199951,1272.300049,1259.699951,1259.800049,67
08-03-2016,1262.099976,1276.300049,1261,1268.699951,43
09-03-2016,1256.599976,1260,1244.800049,1254.5,79
10-03-2016,1272,1273,1237.5,1250,119
11-03-2016,1258.699951,1280.699951,1249.400024,1270,87
14-03-2016,1244.400024,1258,1234.5,1256,58
15-03-2016,1230.400024,1236,1228,1228.300049,37
16-03-2016,1229.300049,1263.800049,1228.900024,1229.5,45
17-03-2016,1264.5,1270.099976,1255.900024,1261.5,27
18-03-2016,1253.800049,1264.400024,1251.5,1257.099976,542
21-03-2016,1243.800049,1256.199951,1243.400024,1256.199951,1061
22-03-2016,1248.199951,1252.400024,1243.800049,1244,20
23-03-2016,1223.699951,1247.699951,1218.599976,1247.699951,28
24-03-2016,1221.400024,1221.400024,1214.199951,1214.199951,13
28-03-2016,1219.900024,1222.199951,1210,1211.5,33
29-03-2016,1235.599976,1235.599976,1217.699951,1217.800049,189732
30-03-2016,1226.900024,1245,1223.400024,1241.400024,48248
31-03-2016,1234.199951,1239.599976,1224.5,1225.599976,3377
01-04-2016,1222.199951,1235.199951,1209.199951,1232.300049,1602
04-04-2016,1218,1222.300049,1215,1221.699951,2038
05-04-2016,1228.400024,1236.699951,1215.400024,1215.400024,477
06-04-2016,1222.5,1230.400024,1217.599976,1230.400024,248
07-04-2016,1236.199951,1242.900024,1224.599976,1224.800049,375
08-04-2016,1242.5,1242.800049,1232,1241,409
11-04-2016,1256.699951,1258.699951,1241.5,1241.5,437
12-04-2016,1259.400024,1261.699951,1253.699951,1260,185
13-04-2016,1246.800049,1256.900024,1241.300049,1256.5,203
14-04-2016,1225,1243.699951,1224.5,1231.400024,264
15-04-2016,1233.099976,1235,1225.699951,1225.699951,97
18-04-2016,1233.599976,1241.099976,1232.199951,1238.699951,304
19-04-2016,1253,1256.199951,1228.800049,1231.599976,386
20-04-2016,1253.199951,1256.099976,1243,1256.099976,180
21-04-2016,1249,1270.599976,1247.599976,1247.699951,124
22-04-2016,1228.699951,1248.5,1228,1248.5,188
25-04-2016,1238.900024,1240.900024,1231.599976,1231.599976,442
26-04-2016,1242.199951,1244.199951,1233,1239.800049,97
27-04-2016,1249.199951,1249.5,1248.599976,1248.599976,547
28-04-2016,1265.5,1270.099976,1238.5,1245.900024,887
29-04-2016,1289.199951,1295.5,1267.199951,1267.300049,464
02-05-2016,1294.699951,1304.400024,1290.400024,1292.099976,192
03-05-2016,1290.699951,1301.5,1284.5,1292.699951,151
04-05-2016,1273.300049,1290,1273,1286.900024,109
05-05-2016,1271.400024,1286,1270.800049,1282.900024,330
06-05-2016,1292.900024,1295.599976,1276.900024,1278.599976,305
09-05-2016,1265.599976,1286.5,1262.300049,1286.5,341
10-05-2016,1263.900024,1267.400024,1258.699951,1265.099976,23
11-05-2016,1274.599976,1279.199951,1266.900024,1266.900024,50
12-05-2016,1270.300049,1281.199951,1264,1267,101
13-05-2016,1271.900024,1275.699951,1264.599976,1271.400024,66
16-05-2016,1273.400024,1287.800049,1272.800049,1272.800049,44
17-05-2016,1276.199951,1281.599976,1270.800049,1272.5,16
18-05-2016,1273.699951,1276.400024,1256.800049,1276.400024,17
19-05-2016,1254.199951,1255.5,1247.5,1248,69
20-05-2016,1252.400024,1256.599976,1252.400024,1256.599976,44
23-05-2016,1251.099976,1251.599976,1247.5,1251.599976,56
24-05-2016,1228.900024,1240,1228.199951,1240,20
25-05-2016,1223.5,1223.5,1218.599976,1219.300049,5
26-05-2016,1220.099976,1232.599976,1220.099976,1232.599976,199778
27-05-2016,1213.800049,1223.199951,1206.400024,1220.300049,63739
31-05-2016,1214.800049,1217.599976,1199,1212.5,6432
01-06-2016,1211.900024,1219.800049,1205.400024,1215.699951,2717
02-06-2016,1209.800049,1217,1209.599976,1212.400024,1627
03-06-2016,1240.099976,1244.5,1206.400024,1209.099976,1622
06-06-2016,1244.599976,1247.300049,1240,1244.400024,1135
07-06-2016,1244.400024,1244.900024,1236.5,1244,281
08-06-2016,1259.800049,1264,1247.300049,1247.599976,406
09-06-2016,1270.199951,1271.400024,1258.099976,1262.5,381
10-06-2016,1273.400024,1278,1265.300049,1267.599976,397
13-06-2016,1284.400024,1287.300049,1273,1276.199951,328
14-06-2016,1285.599976,1289.699951,1277.800049,1281.800049,554
15-06-2016,1285.800049,1296.199951,1278.800049,1284.599976,162
16-06-2016,1296.099976,1316.400024,1281.099976,1296.300049,251
17-06-2016,1292.5,1300.099976,1280.300049,1280.300049,129
20-06-2016,1290,1291.199951,1280.300049,1288.900024,153
21-06-2016,1270.5,1293.900024,1266.300049,1293.900024,134
22-06-2016,1268,1269.199951,1264.900024,1267,53
23-06-2016,1261.199951,1270.5,1255.199951,1263.400024,218
24-06-2016,1320,1355.599976,1253.699951,1253.699951,694
27-06-2016,1322.5,1331.699951,1320,1330,92
28-06-2016,1315.300049,1315.599976,1314.099976,1314.800049,1072
29-06-2016,1323.900024,1327.400024,1311.599976,1311.599976,414
30-06-2016,1318.400024,1323.5,1314.5,1315.800049,560
01-07-2016,1336.699951,1344.199951,1321.900024,1324.5,137
05-07-2016,1356.400024,1356.800049,1339.699951,1342.199951,90
06-07-2016,1364.900024,1374.900024,1359,1359,130
07-07-2016,1360.099976,1368.599976,1350.5,1366.800049,207
08-07-2016,1356.599976,1365.800049,1335,1361.300049,249
11-07-2016,1355,1371.800049,1353,1371.699951,26
12-07-2016,1334.099976,1356,1330.300049,1353.599976,252
13-07-2016,1342.400024,1342.400024,1336.699951,1341.5,7
14-07-2016,1331.300049,1341.400024,1322.699951,1341.400024,20
15-07-2016,1326.5,1333.699951,1322.900024,1333.699951,52
18-07-2016,1328.400024,1335,1326.199951,1327.5,54
19-07-2016,1331.5,1333.199951,1326.400024,1328.5,322
20-07-2016,1318.800049,1337.5,1315.5,1331,751
21-07-2016,1330.5,1330.5,1312.800049,1312.800049,318
22-07-2016,1323.099976,1330.699951,1320.400024,1330.699951,55
25-07-2016,1319.300049,1319.300049,1313.800049,1315.699951,548
26-07-2016,1320.699951,1320.699951,1315.199951,1315.199951,63
27-07-2016,1326.599976,1326.599976,1326,1326,215388
28-07-2016,1332.300049,1344.300049,1330.099976,1339.5,56908
29-07-2016,1349,1353.300049,1325.800049,1333.199951,6076
01-08-2016,1351.400024,1353.5,1345.599976,1348.800049,1257
02-08-2016,1364.400024,1366,1346.599976,1352.099976,2941
03-08-2016,1356.099976,1364.699951,1353.300049,1362.400024,715
04-08-2016,1358.800049,1361.599976,1347,1354.400024,381
05-08-2016,1336.400024,1360.800049,1333.699951,1357.599976,1107
08-08-2016,1333.400024,1335.400024,1327.800049,1330,587
09-08-2016,1339,1339.400024,1328.5,1331.800049,620
10-08-2016,1344.300049,1354.199951,1344.300049,1344.800049,110
11-08-2016,1342.5,1350.400024,1334.800049,1341.599976,666
12-08-2016,1335.800049,1351.800049,1333.199951,1336.800049,113
15-08-2016,1340.300049,1340.599976,1333.599976,1336.5,62
16-08-2016,1350.5,1355,1341,1342.199951,338
17-08-2016,1342.699951,1347.300049,1338.599976,1345.5,135
18-08-2016,1351.199951,1354.400024,1348.199951,1351.300049,140
19-08-2016,1340.400024,1350.099976,1338.599976,1350.099976,197
22-08-2016,1337.699951,1337.699951,1333.300049,1334.400024,117
23-08-2016,1340.599976,1341.199951,1334.300049,1337,551
24-08-2016,1324.400024,1337.199951,1322.900024,1337.199951,262
25-08-2016,1320.099976,1324,1317,1321.400024,58
26-08-2016,1321.5,1340.5,1320.099976,1323.800049,141
29-08-2016,1322.900024,1323,1315,1315,437
30-08-2016,1311.699951,1322.099976,1308,1322,705
31-08-2016,1306.900024,1313.699951,1306.300049,1310.300049,214
01-09-2016,1312.199951,1313.099976,1301.5,1305.300049,225
02-09-2016,1322.099976,1326.699951,1309.199951,1309.599976,55
06-09-2016,1349.400024,1349.400024,1323.199951,1323.300049,46
07-09-2016,1344.300049,1350.5,1343.900024,1348.400024,14
08-09-2016,1336.800049,1345.400024,1335.699951,1344.800049,30
09-09-2016,1330.099976,1338.5,1328,1338.5,35
12-09-2016,1321,1329.300049,1319.900024,1327,177
13-09-2016,1319,1324.599976,1315,1324.599976,79
14-09-2016,1321.5,1322.300049,1319.199951,1319.199951,73
15-09-2016,1313.5,1320.699951,1310.800049,1320.699951,37
16-09-2016,1305.800049,1312.599976,1305.800049,1312.199951,4
19-09-2016,1313.5,1313.5,1313.5,1313.5,20
20-09-2016,1313.699951,1313.699951,1313.699951,1313.699951,97
21-09-2016,1326.900024,1326.900024,1324,1326.300049,76
22-09-2016,1340.400024,1340.400024,1338.199951,1338.599976,23
23-09-2016,1337.199951,1337.199951,1337.199951,1337.199951,40
26-09-2016,1339.699951,1341.800049,1335.199951,1335.199951,24
27-09-2016,1325.900024,1328.699951,1325.900024,1328,48
28-09-2016,1319.400024,1319.400024,1319.400024,1319.400024,10551
29-09-2016,1321.699951,1325,1314.699951,1321.199951,6108
30-09-2016,1313.300049,1327.699951,1312.900024,1320.599976,868
03-10-2016,1309,1316.800049,1308.199951,1313.5,299
04-10-2016,1266.300049,1310.199951,1266.300049,1307.599976,1893
05-10-2016,1265.199951,1274,1261.300049,1272.099976,246
06-10-2016,1249.800049,1265.300049,1249.800049,1265.300049,114
07-10-2016,1248.900024,1263.599976,1248.900024,1253.900024,169
11-10-2016,1253,1258.900024,1253,1258.900024,26
12-10-2016,1251.099976,1254,1251.099976,1251.699951,127
13-10-2016,1255,1259,1255,1258.699951,315
14-10-2016,1253.099976,1253.900024,1250.599976,1253.900024,311
17-10-2016,1254.400024,1255,1249.900024,1249.900024,41
18-10-2016,1260.800049,1261.699951,1260.800049,1260.900024,11
19-10-2016,1267.900024,1271.5,1262.900024,1262.900024,219
20-10-2016,1265.599976,1270.5,1265.5,1270,415
21-10-2016,1265.900024,1265.900024,1265.900024,1265.900024,224
24-10-2016,1262,1269.199951,1261.800049,1269.199951,42
25-10-2016,1271.900024,1274.099976,1264.099976,1264.099976,61
26-10-2016,1264.800049,1274,1264.800049,1274,279
27-10-2016,1267.900024,1269.400024,1267.900024,1269.400024,338
28-10-2016,1275.5,1281.5,1262,1270.300049,560
31-10-2016,1271.5,1276.599976,1271.5,1276.599976,58
01-11-2016,1286.400024,1290.699951,1279,1279.300049,49
02-11-2016,1306.800049,1307,1288.300049,1288.300049,30
03-11-2016,1302.099976,1303.099976,1287.300049,1296.400024,73
04-11-2016,1303.300049,1303.300049,1296.699951,1300,11
07-11-2016,1278.300049,1294.5,1278.300049,1292,34
08-11-2016,1273.400024,1289.400024,1273.199951,1284.099976,50
