Date,Open,High,Low,Close,Volume,VIX,Gold,Crude,USDINR,SP500,NASDAQ
2016-01-04,7718.0498046875,7740.14990234375,7666.10009765625,7713.0498046875,183900,17.280000686645508,1075.099976,36.790000915527344,66.24800109863281,2072.780029296875,4914.5400390625
2016-01-06,8179.2001953125,8215.349609375,8171.0498046875,8179.9501953125,194400,15.84000015258789,1091.900024,49.0099983215332,67.23100280761719,2099.330078125,4952.25
2016-01-07,8313.0498046875,8356.75,8308.650390625,8328.349609375,165500,15.739999771118164,1107.699951,48.9900016784668,67.5009994506836,2102.949951171875,4862.56982421875
2016-01-08,8654.2998046875,8711.2998046875,8590.5,8636.5498046875,188400,15.18000030517578,1097.800049,40.060001373291016,66.64800262451172,2170.840087890625,5184.2001953125
2016-01-11,8653.150390625,8669.599609375,8614.5,8626.25,165000,15.739999771118164,1096.5,46.66999816894531,66.66549682617188,2111.719970703125,5153.580078125
2016-01-12,8244.0,8250.7998046875,8185.0498046875,8192.900390625,157700,16.690000534057617,1085.599976,51.060001373291016,68.58799743652344,2191.080078125,5251.10986328125
2016-01-13,7557.89990234375,7590.9501953125,7425.7998046875,7562.39990234375,215200,18.350000381469727,1087.5,30.479999542236328,66.91999816894531,1890.280029296875,4526.06005859375
2016-01-14,7467.39990234375,7604.7998046875,7443.7998046875,7536.7998046875,200800,18.61000061035156,1073.900024,31.200000762939453,66.93599700927734,1921.8399658203125,4615.0
2016-01-15,7561.64990234375,7566.5,7427.2998046875,7437.7998046875,197500,19.420000076293945,1091.5,29.420000076293945,67.30400085449219,1880.3299560546875,4488.419921875
2016-01-19,7381.7998046875,7462.75,7364.14990234375,7435.10009765625,188300,18.43000030517578,1089.900024,28.459999084472656,67.71099853515625,1881.3299560546875,4476.9501953125
2016-01-20,7357.0,7470.89990234375,7241.5,7309.2998046875,225600,20.96999931335449,1107.099976,26.549999237060547,67.76699829101562,1859.3299560546875,4471.68994140625
2016-01-21,7376.64990234375,7398.7001953125,7250.0,7276.7998046875,240700,20.809999465942383,1099.099976,29.530000686645508,67.9489974975586,1868.989990234375,4472.06005859375
2016-01-22,7355.7001953125,7433.39990234375,7327.60009765625,7422.4501953125,229200,18.81999969482422,1097.199951,32.189998626708984,67.80799865722656,1906.9000244140625,4591.18017578125
2016-01-25,7468.75,7487.14990234375,7421.2001953125,7436.14990234375,163200,18.270000457763672,1106.199951,30.34000015258789,67.54100036621094,1877.0799560546875,4518.490234375
2016-01-27,7469.60009765625,7477.89990234375,7419.7001953125,7437.75,187600,19.059999465942383,1116.099976,32.29999923706055,67.7699966430664,1882.949951171875,4468.169921875
2016-01-28,7426.5,7468.85009765625,7409.60009765625,7424.64990234375,274500,17.899999618530273,1115.599976,33.220001220703125,68.19599914550781,1893.3599853515625,4506.68017578125
2016-01-29,7413.35009765625,7575.64990234375,7402.7998046875,7563.5498046875,298700,17.239999771118164,1116.400024,33.619998931884766,68.09300231933594,1940.239990234375,4613.9501953125
2016-02-02,7566.64990234375,7576.2998046875,7428.0498046875,7455.5498046875,230200,18.040000915527344,1127.300049,29.8799991607666,67.88200378417969,1903.030029296875,4516.9501953125
2016-02-03,7321.7001953125,7380.35009765625,7308.14990234375,7368.85009765625,338500,18.989999771118164,1141.300049,34.65999984741211,67.74600219726562,1986.449951171875,4703.419921875
2016-02-05,7822.7001953125,7829.7998046875,7777.2998046875,7805.89990234375,146300,17.09000015258789,1157.800049,44.77999877929688,66.41799926757812,2081.429931640625,4817.58984375
2016-02-08,8647.4501953125,8687.2001953125,8611.400390625,8622.900390625,169400,15.6899995803833,1197.900024,39.5099983215332,66.7509994506836,2157.030029296875,5137.72998046875
2016-02-09,8796.349609375,8824.099609375,8768.2001953125,8809.650390625,191500,12.9399995803833,1198.699951,44.43999862670898,66.79299926757812,2179.97998046875,5249.89990234375
2016-02-11,8542.7998046875,8549.5,8504.849609375,8514.0,155300,16.799999237060547,1247.900024,45.34000015258789,66.67849731445312,2097.93994140625,5105.56982421875
2016-02-12,8153.5498046875,8159.2998046875,8070.0498046875,8086.7998046875,171500,17.93000030517578,1239.099976,51.68000030517578,68.21649932861328,2191.949951171875,5255.64990234375
2016-02-16,7201.25,7204.64990234375,7037.7001953125,7048.25,253800,23.040000915527344,1207.900024,29.040000915527344,68.13700103759766,1895.5799560546875,4435.9599609375
2016-02-17,7058.85009765625,7123.7001953125,6960.64990234375,7108.4501953125,260000,21.82999992370605,1211.099976,30.65999984741211,68.50599670410156,1926.8199462890625,4534.06005859375
2016-02-18,7177.39990234375,7215.10009765625,7127.85009765625,7191.75,246700,21.489999771118164,1226.099976,30.770000457763672,68.35600280761719,1917.8299560546875,4487.5400390625
2016-02-19,7170.5498046875,7226.85009765625,7145.9501953125,7210.75,192300,20.920000076293945,1230.400024,29.63999938964844,68.56600189208984,1917.780029296875,4504.43017578125
2016-02-22,7208.85009765625,7252.39990234375,7200.7001953125,7234.5498046875,154400,21.020000457763672,1209.5,31.479999542236328,68.53800201416016,1945.5,4570.60986328125
2016-02-23,7240.2998046875,7241.7001953125,7090.7001953125,7109.5498046875,194400,23.84000015258789,1222.300049,31.8700008392334,68.5739974975586,1921.27001953125,4503.580078125
2016-02-24,7075.0,7090.7998046875,7009.75,7018.7001953125,199700,22.959999084472656,1238.699951,32.150001525878906,68.60299682617188,1929.800048828125,4542.60986328125
