Date,Open,High,Low,Close,Volume,VIX,Gold,Crude,USDINR,SP500,NASDAQ,Daily_Return,Log_Return,Open_Close_Pct,High_Low_Pct,Price_Range,Body_Size,Prev_Close,Prev_Return,Return_5D,Return_20D,Volume_Change,Volume_MA5,Volume_Ratio,VIX_Return,Gold_Return,Crude_Return,USDINR_Return,SP500_Return,NASDAQ_Return,DayOfWeek,Month,Quarter,SMA_5,SMA_10,SMA_20,SMA_50,EMA_10,EMA_20,EMA_50,RSI,MACD,MACD_Signal,MACD_Hist,BB_High,BB_Low,BB_Middle,BB_Width,ATR,ADX,CCI,ROC,Stoch_K,Stoch_D,Williams_R,OBV,CMF,Future_Close,Future_Return,Label
2016-05-10,8806.349609375,8806.9501953125,8731.400390625,8743.9501953125,157200,14.93000030517578,1263.900024,49.83000183105469,66.5780029296875,2159.72998046875,5316.02001953125,0.1303665173954495,0.1225419318110044,-0.0070857298234073,0.0086402373069326,75.5498046875,62.3994140625,7735.5,0.0174005420466325,0.1142693549093631,0.1304103286959914,-0.1507293354943274,207920.0,0.7560600230858022,-0.1304600909239867,-0.005899008855139,0.124323153749343,-0.0006304385344187,0.0532032126180741,0.1269702709976605,1,5,2,7884.31005859375,7896.569970703125,7926.87744140625,7755.6709765625,7954.104169188793,7902.485211605282,7931.588563075387,66.41895660994999,47.69277049968332,13.871163171350734,33.82160732833259,8527.971499969422,7325.7833828430785,7926.87744140625,15.1659733105836,263.48317939147205,13.919645685880727,274.94521412539285,10.477339375294662,95.50096502040752,47.30659293123298,-4.499034979592477,1353100,-0.023648745550961,7870.14990234375,-0.09993198422346701,Sell
2016-05-12,8088.75,8141.89990234375,8056.85009765625,8128.75,126500,17.290000915527344,1270.300049,51.790000915527344,68.0114974975586,2204.7099609375,5308.89013671875,-0.0703572391849052,-0.0729548947867662,0.0049451398547365,0.0104628392664923,85.0498046875,40.0,8743.9501953125,0.1303665173954495,0.0355359629867153,0.0504432573377378,-0.19529262086514,184480.0,0.6857111882046835,0.1580710356404631,0.0050637114316567,0.0393337148796,0.0215310538735293,0.0208266685537177,-0.0013412069153811,3,5,2,7940.10009765625,7919.514990234375,7946.394946289062,7745.78796875,7985.857956609012,7924.034239071446,7939.320384131254,53.709759577641606,59.32432254064406,22.9617950452094,36.36252749543466,8547.091279463295,7345.69861311483,7946.394946289062,15.118713258891209,293.741530696099,13.156858078331808,51.01835031615399,2.703812501974162,51.56751743051766,59.01204600677963,-48.43248256948234,1226600,0.0007617416830744,7783.39990234375,-0.042485018933569124,Sell
2016-05-13,7881.0,7881.0,7784.2001953125,7814.89990234375,179500,17.0,1271.900024,46.209999084472656,66.7509994506836,2046.6099853515625,4717.68017578125,-0.038609884380286,-0.0393750048111244,-0.0083872728912891,0.0123865700005279,96.7998046875,66.10009765625,8128.75,-0.0703572391849052,0.0435031980397031,0.003029032157388,0.4189723320158103,170420.0,1.0532801314399718,-0.0167727530463521,0.0012595252603977,-0.1077428409425211,-0.0185336023062901,-0.0717101017308913,-0.1113622519419675,4,5,2,8005.26005859375,7915.5,7947.574951171875,7725.892958984375,7954.774674015327,7913.640492716428,7934.441149551352,48.600507236986665,42.72482620653136,26.914401277473797,15.810424929057568,8547.13962972593,7348.010272617818,7947.574951171875,15.087990543974676,297.37069312405623,12.565742967807092,-38.38083168399964,-1.227872735156362,29.15446080029569,58.74098108374029,-70.8455391997043,1047100,0.0137706261951496,7749.7001953125,-0.008342999634799685,Hold
2016-05-16,7831.2001953125,7873.89990234375,7772.14990234375,7860.75,205200,17.030000686645508,1273.400024,47.720001220703125,66.9000015258789,2066.659912109375,4775.4599609375,0.0058670102277955,0.0058498663461592,0.0037733430317855,0.0129440575008745,101.75,29.5498046875,7814.89990234375,-0.038609884380286,0.0338738686436645,0.0131399440479063,0.1431754874651811,170700.0,1.202108963093146,0.001764746273265,0.0011793379760169,0.032676956635947,0.0022322074039564,0.009796652464963,0.0122474994072021,0,5,2,8056.77001953125,7905.310009765625,7952.6724609375,7712.827958984375,7937.679278739813,7908.6033029339105,7931.551300549338,49.35841114680075,32.89018785230928,28.10955859244089,4.780629259868391,8547.444996104976,7357.899925770023,7952.6724609375,14.957802879193682,283.39778647233794,12.042195647083677,-37.4491140131796,-0.4880154651760942,32.42876545383855,37.71691456155063,-67.57123454616145,1252300,0.0200722546686472,7731.0498046875,-0.01649972271252743,Hold
2016-05-17,7896.85009765625,7940.10009765625,7879.7001953125,7890.75,183400,16.3700008392334,1276.199951,48.310001373291016,66.875,2047.2099609375,4715.72998046875,0.0038164297299876,0.0038091656381104,-0.0007724722618275,0.0076545198293888,60.39990234375,6.10009765625,7860.75,0.0058670102277955,0.0200698080279231,0.0239017718668943,-0.1062378167641325,170360.0,1.076543789621977,-0.0387551274692351,0.0021987803889031,0.0123637916491066,-0.0003737148775584,-0.0094112974553336,-0.0125076916061136,1,5,2,8087.82001953125,7896.39501953125,7961.882470703125,7708.906962890625,7929.1466826053,7906.902988368776,7929.951249547404,49.87917306153721,27.2033323001142,27.928313333975552,-0.7249810338613543,8546.747136518914,7377.017804887336,7961.882470703125,14.69161766624618,268.8229515569031,11.393728581993493,-19.094558427058782,0.4544871923179394,34.5711630631683,32.05146310576752,-65.4288369368317,1435700,0.0230695829574429,7748.85009765625,-0.01798306908009378,Hold
2016-05-18,7846.75,7882.0498046875,7810.75,7870.14990234375,156400,16.450000762939453,1273.699951,48.18999862670898,66.86799621582031,2047.6300048828125,4739.1201171875,-0.0026106640884896,-0.0026140778146703,0.0029821139126071,0.0090595230805282,71.2998046875,23.39990234375,7890.75,0.0038164297299876,-0.099931984223467,-0.07963299904549,-0.1472191930207197,170200.0,0.918918918918919,0.0048869834822684,-0.0019589406801348,-0.0024840145553873,-0.0001047294830607,0.0002051787326786,0.0049600246018379,2,5,2,7913.0599609375,7898.685009765625,7927.834985351563,7725.3449609375,7918.419995285018,7903.402694461631,7927.606098676672,49.50273477137375,20.794496572397293,26.501549981659902,-5.70705340926261,8447.139672219864,7408.530298483262,7927.834985351563,13.10079455053824,255.3355978742672,10.95548794385393,-30.52730142511424,-1.161673577696456,33.10004306414466,33.36665719371717,-66.89995693585534,1279300,0.057916033939806,7934.89990234375,0.008227289289714456,Hold
2016-05-19,7875.5,7876.2001953125,7766.7998046875,7783.39990234375,170400,17.059999465942383,1254.199951,48.15999984741211,67.16000366210938,2040.0400390625,4712.52978515625,-0.0110226617124745,-0.0110838613858264,-0.011694507987588,0.0140556044913042,109.400390625,92.10009765625,7870.14990234375,-0.0026106640884896,-0.0424850189335691,-0.0771128024492366,0.0895140664961637,178980.0,0.9520616828695944,0.0370819863046576,-0.0153097281543351,-0.0006225104825017,0.004366923832241,-0.003706707658226,-0.0056108162219425,3,5,2,7843.98994140625,7892.04501953125,7895.31748046875,7738.843955078125,7893.870887477515,7891.973857117071,7921.95095372244,47.86451159113097,8.616126739313586,22.92446533319064,-14.308338593877052,8362.682544994885,7427.952415942614,7895.31748046875,11.839044235581207,244.9116544993195,10.65664917831325,-46.11478057478869,-2.4624369027772723,26.90494331049946,31.52538314593747,-73.09505668950054,1108900,0.0487701680162612,8069.64990234375,0.03677698738231398,Buy
2016-05-20,7792.2001953125,7812.39990234375,7735.75,7749.7001953125,157000,16.43000030517578,1252.400024,47.75,67.47699737548828,2052.320068359375,4769.56005859375,-0.0043296897826234,-0.0043390900326874,-0.0054541719841292,0.0098906925960971,76.64990234375,42.5,7783.39990234375,-0.0110226617124745,-0.0083429996347996,-0.012833658897697,-0.0786384976525821,174480.0,0.8998165978908758,-0.0369284396534885,-0.0014351196542184,-0.0085132858951647,0.0047199776071147,0.006019504059596,0.012101838298643,4,5,2,7830.95,7918.105029296875,7890.27998046875,7750.002958984375,7867.658034356602,7878.423984564254,7915.19602202009,47.21088851899253,-3.7118163032218954,17.597209005908134,-21.30902530913003,8361.625779226219,7418.934181711282,7890.27998046875,11.947505029586198,232.8929579167788,10.45911454924067,-66.00043350947105,-1.2431081549268852,24.49833758453736,28.16777465306049,-75.50166241546265,951900,-0.0156509092824588,8156.64990234375,0.05251167100340197,Buy
2016-05-23,7813.9501953125,7820.60009765625,7722.2001953125,7731.0498046875,172000,16.15999984741211,1251.099976,48.08000183105469,67.4229965209961,2048.0400390625,4765.77978515625,-0.0024065951139995,-0.0024094956185153,-0.0106092806522789,0.012727883641894,98.39990234375,82.900390625,7749.7001953125,-0.0043296897826234,-0.0164997227125274,-0.0232037077960031,0.0955414012738853,167840.0,1.0247855100095329,-0.0164333811776385,-0.0010380453330302,0.0069110331110928,-0.0008002853800931,-0.0020854589704891,-0.0007925832552813,0,5,2,7805.0099609375,7930.889990234375,7881.0974609375,7760.408955078125,7842.8201744167645,7864.388348385515,7907.974601732538,46.82975067049578,-14.815941684943027,11.1145788677379,-25.930520552680928,8357.312924508153,7404.881997366847,7881.0974609375,12.085003793723024,223.2863110901339,10.31260713800057,-63.6947151481201,-1.5127774332421644,23.16645250826849,24.856577801101768,-76.83354749173151,779900,-0.0930161885901063,8160.10009765625,0.055497028709944114,Buy
2016-05-24,7738.0498046875,7761.5498046875,7715.7998046875,7748.85009765625,147000,16.219999313354492,1228.900024,48.619998931884766,67.447998046875,2076.06005859375,4861.06005859375,0.0023024418957897,0.0022997953380331,0.0013957383631994,0.0059041018245839,45.75,10.80029296875,7731.0498046875,-0.0024065951139995,-0.0179830690800937,-0.020960851870716,-0.1453488372093023,160560.0,0.9155455904334828,0.0037128382740665,-0.0177443469154058,0.0112312204714037,0.0003708160000144,0.0136813826862858,0.0199925883554805,1,5,2,7776.62998046875,7932.225,7872.802465820312,7770.6949609375,7825.734705914852,7853.384705458918,7901.734425102096,47.26731677808817,-21.92694598724665,4.50627389674099,-26.433219883987643,8352.153396047566,7393.451535593059,7872.802465820312,12.177390003327291,210.6051460122672,10.195185838141564,-65.39907307790261,3.4683739917068275,24.43762934498913,24.03413981259833,-75.56237065501087,926900,-0.0783545273915875,7741.0,-0.0010130661397907766,Hold
2016-05-25,7811.7998046875,7941.2001953125,7809.2998046875,7934.89990234375,176200,15.520000457763672,1223.5,49.560001373291016,67.6510009765625,2090.5400390625,4894.89013671875,0.0240099888812888,0.0237262813366222,0.0157582248309004,0.0166228172060545,131.900390625,123.10009765625,7748.85009765625,0.0023024418957897,0.0082272892897143,0.0028880123634602,0.198639455782313,164520.0,1.0709944079747142,-0.0431565280656015,-0.0043941930950763,0.0193336582076681,0.0030097695345445,0.0069747406433695,0.0069594034464133,2,5,2,7789.57998046875,7851.319970703125,7873.944970703125,7787.201962890625,7845.582923447379,7861.148057543188,7903.03503205275,51.73793543925165,-12.406786066831955,1.123661904026401,-13.530447970858356,8353.773315679773,7394.116625726477,7873.944970703125,12.18774951468325,209.30121398683735,9.47123187093494,10.035498836096926,4.362632819214052,37.7240512376147,28.442711030290777,-62.2759487623853,1103100,-0.0124417240253532,8201.0498046875,0.033541683653140565,Buy
2016-05-26,7974.4501953125,8083.0,7948.5,8069.64990234375,264300,15.329999923706056,1220.099976,49.47999954223633,67.30400085449219,2090.10009765625,4901.77001953125,0.0169819407501534,0.0168393595342784,0.0119380903635475,0.0166673897415222,134.5,95.19970703125,7934.89990234375,0.0240099888812888,0.036776987382314,0.0215652148757745,0.5,183300.0,1.44189852700491,-0.0122423020910782,-0.0027789325704945,-0.0016142419055259,-0.0051292681122416,-0.0002104439035032,0.0014055234377765,3,5,2,7846.82998046875,7845.4099609375,7882.462475585938,7808.22095703125,7886.3223741558095,7881.0053760956225,7909.56894853475,54.731367270987406,5.94270431032237,2.087470385285595,3.8552339250367744,8369.77814290819,7395.146808263686,7882.462475585938,12.364554067503574,204.9297056775097,9.241365454468042,70.86446615543039,4.319693650620516,39.481234862703744,33.88097181510253,-60.518765137296256,1367400,0.0413753338874401,8943.0,0.10822651641957777,Buy
2016-05-27,8081.9501953125,8164.2001953125,8077.0498046875,8156.64990234375,260900,15.260000228881836,1213.800049,49.33000183105469,66.9540023803711,2099.06005859375,4933.5,0.0107811368588284,0.0107234347618368,0.0092427824010318,0.0106845814971117,87.150390625,74.69970703125,8069.64990234375,0.0169819407501534,0.0525116710034019,0.0383956951458499,-0.012864169504351,204080.0,1.2784202273618188,-0.0045661901612911,-0.005163451458014,-0.0030314816606576,-0.0052002625353249,0.0042868573364247,0.0064731679255292,4,5,2,7928.219921875,7879.5849609375,7897.54248046875,7831.941953125,7935.472833826344,7907.257235738301,7919.258397703731,56.60290793572096,27.191533474071548,7.108283003042786,20.08325047102876,8398.992768654853,7396.092192282647,7897.54248046875,12.698894356724994,197.04546191259828,9.278696007303823,101.20517127721403,-6.716647280122808,40.88717068981205,39.36415226337683,-59.11282931018795,1628300,0.1072481064191252,8709.5498046875,0.06778517025536164,Buy
2016-05-31,8209.849609375,8213.599609375,8134.2998046875,8160.10009765625,471000,16.049999237060547,1214.800049,49.09999847412109,67.13300323486328,2096.949951171875,4948.0498046875,0.0004229917127507,0.0004229022769757,-0.0060597348411766,0.0097179941101796,79.2998046875,49.74951171875,8156.64990234375,0.0107811368588284,0.0554970287099441,0.0247970459249227,0.8052893829053278,263880.0,1.7849022282855844,0.0517692658145259,0.0008238589220883,-0.0046625450718877,0.0026734899801099,-0.0010052630048559,0.002949185099321,1,5,2,8014.02998046875,7909.519970703125,7907.414990234375,7854.548955078125,7976.31415452269,7931.3375083019155,7928.703170250888,56.67939808073082,43.80483078143607,14.447592558721444,29.357238222714624,8421.226269711216,7393.603710757533,7907.414990234375,12.99568266270068,188.63505782509128,9.467719935704578,100.83700982667378,0.385669354528679,40.718520268710094,40.3623086070753,-59.28147973128991,2099300,0.0207233100695215,8110.60009765625,-0.00606610205850507,Hold
2016-06-01,7788.0498046875,7800.9501953125,7721.2001953125,7741.0,147100,16.549999237060547,1211.900024,33.970001220703125,66.52400207519531,1990.260009765625,4835.759765625,-0.0513596760628738,-0.0527255575478403,-0.0060412819470134,0.0103022865262885,79.75,47.0498046875,8160.10009765625,0.0004229917127507,-0.0010130661397907,-0.0299377066463683,-0.6876857749469214,263900.0,0.557408109132247,0.0311526494559242,-0.0023872447176694,-0.3081465931489276,-0.0090715613829667,-0.0508786303395685,-0.0226937972524291,2,6,2,8012.4599609375,7894.544970703125,7895.469995117188,7869.627958984375,7933.529762791291,7913.210126558876,7921.342261613599,46.05945052514869,22.889260131933952,16.135926073363944,6.753334058570008,8413.079188024802,7377.860802209573,7895.469995117188,13.11154860262202,206.5111181478526,9.35801104664714,-54.84091058583343,-0.9456282648174016,5.062315226965534,28.88933539516256,-94.93768477303446,1952200,-0.0247382791710089,8108.85009765625,0.047519712912575895,Buy
2016-06-06,8228.75,8234.7001953125,8186.0498046875,8201.0498046875,171600,15.359999656677246,1244.599976,49.68999862670898,66.99199676513672,2109.409912109375,4968.7099609375,0.0594302809310811,0.0577312928150251,-0.0033662701276013,0.0059322149948647,48.650390625,27.7001953125,7741.0,-0.0513596760628738,0.0335416836531405,0.0450858332138648,0.1665533650577837,262980.0,0.6525211042664841,-0.0719033012230312,0.0269823841508562,0.4627611669447116,0.0070349749765867,0.0598665007381529,0.0274931348446165,0,6,2,8065.68994140625,7927.6349609375,7913.159985351563,7886.412958984375,7982.169770408784,7940.623429237793,7932.3111848714,55.84064024444236,42.94070047982223,21.4968809546556,21.443819525166624,8446.899907019491,7379.420063683633,7913.159985351563,13.489931270338554,227.02462365961316,9.411189910342696,101.4068090408058,4.329100972394492,93.51505775810476,46.43196441792679,-6.484942241895234,2123800,0.0190039939581553,8206.599609375,0.0006767188127949035,Hold
2016-06-09,8852.7001953125,8950.849609375,8848.4501953125,8943.0,195600,12.75,1270.199951,44.83000183105469,66.45999908447266,2186.47998046875,5275.91015625,0.0904701486983314,0.0866089323264425,0.0102002555938033,0.0114502308020239,102.3994140625,90.2998046875,8201.0498046875,0.0594302809310811,0.1082265164195777,0.1392647229881833,0.1398601398601398,249240.0,0.784785748675975,-0.1699218564463076,0.0205688377741057,-0.0978063378943621,-0.0079412124783974,0.0365363165864269,0.0618269526149877,3,6,2,8240.3599609375,8043.594970703125,7967.819995117187,7915.76095703125,8156.866175789004,8036.087864548479,7971.94604036664,66.41726256984097,117.34807587156138,40.66711993803676,76.68095593352461,8663.692559576539,7271.947430657835,7967.819995117187,17.4670754330744,264.3657080187479,10.931344025632962,246.42925105711632,13.335234293318129,99.36442973026612,65.98060090511214,-0.6355702697338718,2319400,0.0475125294705884,8140.75,-0.0897070334339707,Sell
2016-06-10,8768.7001953125,8781.150390625,8684.650390625,8709.5498046875,163600,14.84000015258789,1273.400024,50.43999862670898,66.56320190429688,2160.77001953125,5306.85009765625,-0.0261042374273174,-0.0264510010125561,-0.0067456281213286,0.0110797919713443,96.5,59.150390625,8943.0,0.0904701486983314,0.0677851702553615,0.1629634657190917,-0.1635991820040899,229780.0,0.711985377317434,0.1639215805951286,0.0025193458695071,0.1251393389809796,0.0015528561728241,-0.0117586079759066,0.0058643798870603,4,6,2,8350.93994140625,8139.579931640625,8028.84248046875,7919.0549609375,8257.354108316002,8100.227096942671,8000.871678183144,61.431628194353166,155.6843449897724,63.67056494838389,92.01378004138851,8759.281885983914,7298.403074953586,8028.84248046875,18.19538513283968,263.93598668705164,11.844363922567362,164.55157729728782,10.665615175814818,80.46234218477082,91.11394322438058,-19.53765781522917,2155800,-0.017241684077826,8170.2001953125,-0.061926232867365975,Sell
2016-06-13,8102.25,8125.25,8063.89990234375,8110.60009765625,169700,16.579999923706055,1284.400024,48.880001068115234,66.94499969482422,2079.06005859375,4848.43994140625,-0.0687693073078121,-0.0712482421828226,0.0010305899788638,0.0075641872262915,61.35009765625,8.35009765625,8709.5498046875,-0.0261042374273174,-0.0060661020585051,0.0667350443641574,0.0372860635696821,169520.0,1.0010618216139688,0.117250657225548,0.0086382910261355,-0.0309277874914075,0.0057358687623874,-0.0378152048570286,-0.086380837561712,0,6,2,8341.03994140625,8177.5349609375,8054.212475585938,7906.504970703125,8230.67156092332,8101.215001772536,8005.174753456599,50.87903656707678,136.16623909425562,78.16969977755824,57.99653931669738,8758.534681065354,7349.890270106521,8054.212475585938,17.489536254832352,291.2012663768158,11.110809723252418,11.859291588304842,4.203820944802964,31.96634592955908,70.59770594819868,-68.03365407044092,1986100,0.0479703272092218,8238.5,0.01576947461393266,Hold
