Date,Open,High,Low,Close,Volume,VIX,Gold,Crude,USDINR,SP500,NASDAQ,Daily_Return,Log_Return,Open_Close_Pct,High_Low_Pct,Price_Range,Body_Size,Prev_Close,Prev_Return,Return_5D,Return_20D,Volume_Change,Volume_MA5,Volume_Ratio,VIX_Return,Gold_Return,Crude_Return,USDINR_Return,SP500_Return,NASDAQ_Return,DayOfWeek,Month,Quarter
2016-02-08,8647.4501953125,8687.2001953125,8611.400390625,8622.900390625,169400,15.6899995803833,1197.900024,39.5099983215332,66.7509994506836,2157.030029296875,5137.72998046875,0.10466448436469733,0.09954165480446461,-0.0028389645656250956,0.00879052305531804,75.7998046875,24.5498046875,7805.89990234375,0.05931044856327161,0.16138814678696112,0.11796249330382258,0.1578947368421053,236620.0,0.7159158143859352,-0.08191928377441193,0.034634628867596495,-0.11768648060348219,0.005013703917275736,0.036321231143563226,0.06645234382791587,0,2,1
2016-02-09,8796.349609375,8824.099609375,8768.2001953125,8809.650390625,191500,12.9399995803833,1198.699951,44.43999862670898,66.79299926757812,2179.97998046875,5249.89990234375,0.021657446049479834,0.02142625560542021,0.001512079651293561,0.006345247720838809,55.8994140625,13.30078125,8622.900390625,0.10466448436469733,0.16475076096745345,0.0769809326801707,0.1304604486422669,215180.0,0.8899525978250766,-0.1752708778551043,0.0006677744252219231,0.12477855010408567,0.0006292013189339585,0.010639606709302862,0.021832584098700814,1,2,1
2016-02-11,8542.7998046875,8549.5,8504.849609375,8514.0,155300,16.799999237060547,1247.900024,45.34000015258789,66.67849731445312,2097.93994140625,5105.56982421875,-0.033559832401479084,-0.03413588851125344,-0.0033712372226839876,0.00524434938043223,44.650390625,28.7998046875,8809.650390625,0.021657446049479834,0.14196809397571508,0.022291378164050357,-0.18903394255874673,200200.0,0.7757242757242757,0.2982998285818266,0.04104452741401676,0.020252060164061225,-0.0017142807536804083,-0.03763339103915042,-0.02749196762029038,3,2,1
2016-02-12,8153.5498046875,8159.2998046875,8070.0498046875,8086.7998046875,171500,17.93000030517578,1239.099976,51.68000030517578,68.21649932861328,2191.949951171875,5255.64990234375,-0.05017620334889594,-0.051478788799939494,-0.00818661829496954,0.01103650419888797,89.25,66.75,8514.0,-0.033559832401479084,0.097430358538519,-0.06365389101347185,0.10431423052157118,166800.0,1.0281774580335732,0.06726197139476464,-0.007051885432129867,0.13983238048635127,0.023065936937765708,0.04481062966111882,0.02939536296479206,4,2,1
2016-02-16,7201.25,7204.64990234375,7037.7001953125,7048.25,253800,23.040000915527344,1207.900024,29.040000915527344,68.13700103759766,1895.5799560546875,4435.9599609375,-0.1284253140637297,-0.13745371954560717,-0.021246311404270093,0.023686689182598517,166.94970703125,153.0,8086.7998046875,-0.05017620334889594,-0.09706118600320035,-0.18293001014345744,0.4798833819241983,188300.0,1.3478491768454595,0.28499724056761333,-0.02517952756380326,-0.43808048095891805,-0.0011653821553150312,-0.13520837688777532,-0.15596357379906722,1,2,1
2016-02-17,7058.85009765625,7123.7001953125,6960.64990234375,7108.4501953125,260000,21.82999992370605,1211.099976,30.65999984741211,68.50599670410156,1926.8199462890625,4534.06005859375,0.008541154940942874,0.008504885651830765,0.007026654054138183,0.022937530472713963,163.05029296875,49.60009765625,7048.25,-0.1284253140637297,-0.17563118286267598,-0.1323646259087219,0.024428684003152012,206420.0,1.2595678713302974,-0.05251740207205624,0.0026491861382726967,0.05578508542741023,0.005415496145776855,0.01648043921048603,0.022114739204164735,2,2,1
2016-02-18,7177.39990234375,7215.10009765625,7127.85009765625,7191.75,246700,21.489999771118164,1226.099976,30.770000457763672,68.35600280761719,1917.8299560546875,4487.5400390625,0.011718419964794835,0.011650291007518507,0.001999344867430897,0.012131956756005145,87.25,14.35009765625,7108.4501953125,0.008541154940942874,-0.18365091903609787,-0.04901220606290313,-0.051153846153846105,217460.0,1.1344615101627886,-0.015574903975087429,0.012385434974197418,0.0035877563894002318,-0.0021895002437851696,-0.004665713707027619,-0.010260124244070634,3,2,1
2016-02-19,7170.5498046875,7226.85009765625,7145.9501953125,7210.75,192300,20.920000076293945,1230.400024,29.63999938964844,68.56600189208984,1917.780029296875,4504.43017578125,0.0026419160844022294,0.002638432358562314,0.005606291903337803,0.011219346440210796,80.89990234375,40.2001953125,7191.75,0.011718419964794835,-0.15307141179234207,-0.0432610409108537,-0.22051074179164976,224860.0,0.8551987903584453,-0.026523950716382916,0.003507094106655506,-0.036724116064487,0.003072138156815285,-2.6032942938902792e-05,0.00376378518558651,4,2,1
2016-02-22,7208.85009765625,7252.39990234375,7200.7001953125,7234.5498046875,154400,21.020000457763672,1209.5,31.479999542236328,68.53800201416016,1945.5,4570.60986328125,0.0033006004489823937,0.0032951654232690796,0.0035650217001468127,0.007146223113669365,51.69970703125,25.69970703125,7210.75,0.0026419160844022294,-0.10538779499722428,-0.027326629559443982,-0.19708788351534057,221440.0,0.6972543352601156,0.004780132940011006,-0.016986365078289434,0.06207827903095353,-0.0004083638706797732,0.014454197186153817,0.01469213305954331,0,2,1
2016-02-23,7240.2998046875,7241.7001953125,7090.7001953125,7109.5498046875,194400,23.84000015258789,1222.300049,31.8700008392334,68.5739974975586,1921.27001953125,4503.580078125,-0.017278200216274464,-0.017429210300505937,-0.01805864446598608,0.021239038215955953,151.0,130.75,7234.5498046875,0.0033006004489823937,0.00869716662824116,-0.043785596520936165,0.2590673575129534,209560.0,0.9276579499904561,0.13415792737448107,0.010582926002480342,0.012388859678152508,0.0005251901476643894,-0.012454371867771763,-0.014665391963279317,1,2,1
2016-02-24,7075.0,7090.7998046875,7009.75,7018.7001953125,199700,22.959999084472656,1238.699951,32.150001525878906,68.60299682617188,1929.800048828125,4542.60986328125,-0.012778531956425754,-0.0128608796700014,-0.007957569567137808,0.011547694363926502,81.0498046875,56.2998046875,7109.5498046875,-0.017278200216274464,-0.012625818221133955,-0.03975751674444061,0.027263374485596792,197500.0,1.011139240506329,-0.03691279624508337,0.013417247273627586,0.008785713187080102,0.00042289103262960204,0.004439786812972857,0.008666390844436656,2,2,1
2016-02-25,7029.85009765625,7034.2001953125,6961.39990234375,6970.60009765625,283100,22.75,1238.199951,33.06999969482422,68.3759994506836,1951.699951171875,4582.2001953125,-0.006853134671341854,-0.006876725240095017,-0.008428344726689681,0.010443906112649885,72.80029296875,59.25,7018.7001953125,-0.012778531956425754,-0.030750499161365408,-0.042078896664713095,0.4176264396594893,204780.0,1.3824592245336458,-0.009146301953238067,-0.0004036490028084261,0.02861580482989301,-0.003308855093655083,0.011348275359951865,0.008715327360878211,3,2,1
2016-02-26,7039.2998046875,7052.89990234375,6985.10009765625,7029.75,206700,21.8700008392334,1219.800049,32.779998779296875,68.7969970703125,1948.050048828125,4590.47021484375,0.008485625558068977,0.008449825021575584,-0.001356641278602844,0.009644696424126036,67.7998046875,9.5498046875,6970.60009765625,-0.006853134671341854,-0.025101411087612213,-0.05290708391152321,-0.2698693041328153,207660.0,0.9953770586535683,-0.03868128179193853,-0.014860202494063945,-0.008769305056048449,0.00615709639363371,-0.0018701144822791393,0.0018048141021227426,4,2,1
